Wikidata ID,Clowder,Clowder link
Q226519,sets:section-phantom,https://www.clowderproject.com/tag/0000.html
Q11348,sets:functions,https://www.clowderproject.com/tag/0003.html
Q226183,constructions-with-sets:the-empty-set,https://www.clowderproject.com/tag/002Z.html
Q1165112,constructions-with-sets:singleton-sets,https://www.clowderproject.com/tag/0031.html
Q191290,constructions-with-sets:ordered-pairs,https://www.clowderproject.com/tag/0035.html
Q40754,constructions-with-sets:differences,https://www.clowderproject.com/tag/004E.html
Q19924622,constructions-with-sets:complements,https://www.clowderproject.com/tag/0050.html
Q1147242,constructions-with-sets:symmetric-differences,https://www.clowderproject.com/tag/0057.html
Q205170,constructions-with-sets:powersets,https://www.clowderproject.com/tag/006P.html
Q5280340,constructions-with-sets:subsection-direct-images,https://www.clowderproject.com/tag/007F.html
Q860623,constructions-with-sets:subsection-inverse-images,https://www.clowderproject.com/tag/0080.html
Q3054915,pointed-sets:pointed-sets,https://www.clowderproject.com/tag/009B.html
Q107223533,relations:relations,https://www.clowderproject.com/tag/00HG.html
Q134237,relations:square-roots,https://www.clowderproject.com/tag/00J9.html
Q2520206,relations:complex-logarithms,https://www.clowderproject.com/tag/00JA.html
Q124411769,conditions-on-relations:functional-relations,https://www.clowderproject.com/tag/00JD.html
Q106584784,conditions-on-relations:total-relations,https://www.clowderproject.com/tag/00JK.html
Q182598,relations:the-graph-of-a-function,https://www.clowderproject.com/tag/00P1.html
Q621850,conditions-on-relations:reflexive-relations,https://www.clowderproject.com/tag/00TM.html
Q621461,conditions-on-relations:symmetric-relations,https://www.clowderproject.com/tag/00U6.html
Q64861,conditions-on-relations:transitive-relations,https://www.clowderproject.com/tag/00UR.html
Q130998,conditions-on-relations:equivalence-relations,https://www.clowderproject.com/tag/00VA.html
Q687704,conditions-on-relations:the-kernel-of-a-function,https://www.clowderproject.com/tag/00VB.html
Q719395,categories:categories,https://www.clowderproject.com/tag/00WB.html
Q5051852,categories:the-empty-category,https://www.clowderproject.com/tag/00WP.html
Q10906333,categories:ordinal-categories,https://www.clowderproject.com/tag/00WQ.html
Q7233031,categories:posetal-categories,https://www.clowderproject.com/tag/00X3.html
Q541563,categories:subcategories,https://www.clowderproject.com/tag/00XD.html
Q541563,categories:full-subcategories,https://www.clowderproject.com/tag/00XE.html
Q541563,categories:strictly-full-subcategories,https://www.clowderproject.com/tag/00XF.html
Q541563,categories:wide-subcategories,https://www.clowderproject.com/tag/00XG.html
Q2291918,categories:skeletal-categories,https://www.clowderproject.com/tag/00XK.html
Q5161408,categories:connected-categories,https://www.clowderproject.com/tag/00YH.html
Q1228851,categories:discrete-categories,https://www.clowderproject.com/tag/00YK.html
Q25098934,categories:indiscrete-categories,https://www.clowderproject.com/tag/00YU.html
Q189112,categories:isomorphisms,https://www.clowderproject.com/tag/00Z3.html
Q1196038,categories:groupoids,https://www.clowderproject.com/tag/00Z5.html
Q864475,categories:functors,https://www.clowderproject.com/tag/00ZW.html
Q864475,categories:identity-functors,https://www.clowderproject.com/tag/0103.html
Q864475,categories:contravariant-functors,https://www.clowderproject.com/tag/0108.html
Q2646117,categories:forgetful-functors,https://www.clowderproject.com/tag/010C.html
Q1064276,categories:faithful-functors,https://www.clowderproject.com/tag/0117.html
Q1064276,categories:full-functors,https://www.clowderproject.com/tag/011S.html
Q1064276,categories:fully-faithful-functors,https://www.clowderproject.com/tag/0129.html
Q23808682,categories:conservative-functors,https://www.clowderproject.com/tag/0133.html
Q140283,categories:essentially-surjective-functors,https://www.clowderproject.com/tag/013K.html
Q5290301,categories:dominant-functors,https://www.clowderproject.com/tag/014K.html
Q1442189,categories:natural-transformations,https://www.clowderproject.com/tag/017Q.html
Q1442189,categories:identity-natural-transformations,https://www.clowderproject.com/tag/017T.html
Q1442189,categories:natural-isomorphisms,https://www.clowderproject.com/tag/018J.html
Q2007878,categories:functor-categories,https://www.clowderproject.com/tag/018S.html
Q4903541,book-part:bicategories,https://www.clowderproject.com/tag/01CY.html
Q2518298,book-part:sets,https://www.clowderproject.com/tag/01D1.html
Q361254,constructions-with-sets:section-characteristic-functions,https://www.clowderproject.com/tag/01L5.html
Q1945014,book-part:monoidal-categories,https://www.clowderproject.com/tag/01VW.html
Q3910260,book-part:preliminaries,https://www.clowderproject.com/tag/01WJ.html
Q1387137,introduction:section-introduction,https://www.clowderproject.com/tag/01WL.html
Q405253,introduction:subsection-goodies,https://www.clowderproject.com/tag/01X3.html
Q224350,introduction:subsection-style,https://www.clowderproject.com/tag/01XE.html
Q12139612,introduction:section-lists,https://www.clowderproject.com/tag/01XN.html
Q130901,constructions-with-relations:the-domain-of-a-relation,https://www.clowderproject.com/tag/02AV.html
Q189293,introduction:subsection-frequently-asked-questions,https://www.clowderproject.com/tag/02CC.html
Q320577,presheaves-and-the-yoneda-lemma:the-yoneda-embedding,https://www.clowderproject.com/tag/02HM.html
Q320577,presheaves-and-the-yoneda-lemma:the-yoneda-lemma,https://www.clowderproject.com/tag/02HY.html
Q182003,constructions-with-sets:injective-functions,https://www.clowderproject.com/tag/02RJ.html
Q229102,constructions-with-sets:surjective-functions,https://www.clowderproject.com/tag/02RX.html
Q180907,constructions-with-sets:bijective-functions,https://www.clowderproject.com/tag/02ST.html
Q130901,conditions-on-relations:subsection-surjective-relations,https://www.clowderproject.com/tag/02VP.html
Q130901,conditions-on-relations:injective-relations,https://www.clowderproject.com/tag/02Y4.html
Q180907,conditions-on-relations:subsection-bijective-relations,https://www.clowderproject.com/tag/02Y8.html
Q130901,relations:relations,https://www.clowderproject.com/tag/00HG.html
Q1248241,relations:the-converse-of-a-relation,https://www.clowderproject.com/tag/00QF.html
Q279512,relations:composition-of-relations,https://www.clowderproject.com/tag/00QU.html
Q173740,constructions-with-sets:binary-products-of-sets,https://www.clowderproject.com/tag/000T.html
Q103927515,categories:full-subcategories,https://www.clowderproject.com/tag/00XE.html
Q116269680,Tag 01JA,https://www.clowderproject.com/tag/01JA.html
Q7241077,presheaves-and-the-yoneda-lemma:presheaves-on-a-category,https://www.clowderproject.com/tag/02H6.html
Q386320,presheaves-and-the-yoneda-lemma:corepresentable-copresheaves-corepresentable-copresheaves,https://www.clowderproject.com/tag/02JF.html
Q934367,Tag 003A,https://www.clowderproject.com/tag/003A.html
Q185359,constructions-with-sets:binary-unions,https://www.clowderproject.com/tag/003H.html
Q185837,constructions-with-sets:binary-intersections,https://www.clowderproject.com/tag/003Y.html
Q845126,constructions-with-sets:differences,https://www.clowderproject.com/tag/004E.html
Q5073765,constructions-with-sets:the-characteristic-function-of-a-subset,https://www.clowderproject.com/tag/005Z.html
Q860623,constructions-with-sets:the-direct-image-function-associated-to-a-function,https://www.clowderproject.com/tag/007G.html
Q33059348,categories:full-functors,https://www.clowderproject.com/tag/011S.html
Q1082992,categories:equivalences-of-categories,https://www.clowderproject.com/tag/013Q.html
Q110535030,categories:natural-isomorphisms,https://www.clowderproject.com/tag/018J.html
Q842620,constructions-with-sets:coproducts-of-sets,https://www.clowderproject.com/tag/0021.html
Q242767,constructions-with-sets:complements,https://www.clowderproject.com/tag/0050.html
Q5637899,constructions-with-sets:the-inverse-image-function-associated-to-a-function,https://www.clowderproject.com/tag/0081.html
Q124662529,categories:contravariant-functors,https://www.clowderproject.com/tag/0108.html
Q12175350,categories:faithful-functors,https://www.clowderproject.com/tag/0117.html
Q120721906,categories:fully-faithful-functors,https://www.clowderproject.com/tag/0129.html
Q6086107,categories:isomorphisms-of-categories,https://www.clowderproject.com/tag/0149.html
