Wikidata ID,name,degree
Q11348,Mathematical Function,78
Q36161,SeT,51
Q179899,Topological space,36
Q83478,GrouP,34
Q177646,Proper subset,29
Q181296,Abelian group,28
Q164307,BinaryOperation,28
Q82571,LinearAlgebra,26
Q125977,VectorSpaces,26
Q161172,Ring (mathematics),24
Q188211,Invariant (mathematics),24
Q205464,Algebraic structure,22
Q719395,Category (mathematics),21
Q192276,Measure theory,19
Q2739329,Square matrix,19
Q18848,Module (algebra),18
Q190109,Field (mathematics),17
Q3884033,Finitary operation,16
Q1948412,MorphisM,16
Q12482,Axiomatic Set Theory,15
Q207643,Linear map,15
Q748349,Mathematical structure,15
Q44337,Matrix (Mathematics),15
Q864475,Functor,14
Q43260,Polynomial,14
Q180969,Algebraic geometry,13
Q130901,Asymmetrical relationship,13
Q180907,Bijection,13
Q11567,Complex numbers,13
Q204,0,12
Q177251,Associative property,12
Q3552958,Differential manifold,12
Q44649,Ideal (ring theory),12
Q12503,IntegerNumbers,12
Q625948,Topological invariant,12
Q191849,Zermelo–Fraenkel set theory,12
Q466109,SubGroup,11
Q141488,Graph (discrete mathematics),11
Q1055807,Group representation,11
Q664495,Lie Algebra,11
Q189569,Linear Algebra/Basis for a Vector Space,11
Q1166618,Mathematical logic,11
Q208237,Monoid,11
Q1000660,Algebra over a field,10
Q1695400,Algebraic group,10
Q168817,Algebraic number,10
Q648995,Algebraic variety,10
Q17736,Axiom,10
Q875399,Boundary (topology),10
Q381892,Compact space,10
Q170058,Continuity property,10
Q178546,Determinant,10
Q326908,Hausdorff space,10
Q215111,HomoMorphism,10
Q211548,Locus of points,10
Q370502,Map (mathematics),10
Q3058218,Measurable space,10
Q217357,Sigma-algebra,10
Q37555,Polygon,9
Q12916,Real numbers,9
Q166154,Straight line segment,9
Q1046291,Topological group,9
Q40276,Arithmetic/Multiplication,9
Q320357,Closed set,9
Q199006,Codomain,9
Q1491995,Connected space,9
Q182003,Injective function,9
Q622679,LieGroup,9
Q929302,Linear algebra/Dimension of a vector space,9
Q203920,ManiFold,9
Q21199,Natural numbers,9
Q1201815,Null set,9
Q199,1,8
Q3968,Al-Gebra,8
Q837924,Bilinear form,8
Q17278,Circle,8
Q2285809,Classical groups,8
Q865746,Distance function,8
Q202906,Homeomorphism,8
Q1144780,Homology group,8
Q261527,Linear form,8
Q467606,Model theory,8
Q11563,Number,8
Q12479,Number theory,8
Q213363,Open set,8
Q191290,Ordered pair,8
Q286972,P-group,8
Q44946,Point (geometry),8
Q173853,Quaternian,8
Q868473,Smooth function,8
Q229102,Surjective function,8
Q2721559,Topological manifold,8
Q19821,Triangle,8
Q652446,Uniform space,8
Q172937,Polyhedron,7
Q1143969,Principal ideal domain,7
Q13415428,Projection map,7
Q1781358,Wedge sum,7
Q3966112,"",7
Q3054889,"",7
Q78338964,"",7
Q613048,Algebraic number theory,7
Q600043,Character theory,7
Q193756,Complex analysis,7
Q1635267,Cone (topology),7
Q783507,Differentiability,7
Q4440864,Dimension,7
Q226183,Empty set,7
Q11345,Equation,7
Q1154996,Fiber bundle,7
Q577835,Field extension,7
Q1196038,Groupoid,7
Q574844,Kernel (algebra),7
Q679903,Magma (algebra),7
Q3058212,Measure space,7
Q217616,Meromorphic function,7
Q180953,Metric spaces,7
Q318751,Abelian variety,6
Q646245,Algebraic integer,6
Q744960,Associative algebra,6
Q782566,AutoMorphism,6
Q2342396,Bounded linear map,6
Q163875,Cardinal numbers,6
Q1143328,Chain complex,6
Q849705,Characteristic polynomial,6
Q217594,Class (set theory),6
Q165474,Commutative,6
Q578874,Complex manifold,6
Q124255,Conic sections,6
Q1211057,Convergent series,6
Q93344,Cosine,6
Q161973,Curve,6
Q188444,Differential geometry,6
Q986694,Discrete valuation ring,6
Q192439,Domain of a function,6
Q824282,Elementary function,6
Q1340800,Endomorphism,6
Q1347208,Epimorphism,6
Q1211071,Equivalence class,6
Q1497184,Fractional ideal,6
Q579600,Functional (mathematics),6
Q730384,Galois group,6
Q173740,Graphing the total product,6
Q765994,Group object,6
Q1617044,Heyting algebra,6
Q1627597,Hopf algebra,6
Q185813,Identity element,6
Q193794,Identity matrix,6
Q214159,Inner product space,6
Q80091,Integral,6
Q877802,Integral kernel,6
Q848427,Julia set,6
Q583034,Locally compact space,6
Q211790,Logical connective,6
Q629085,Multivalued function,6
Q616608,Number field,6
Q743418,Octonion,6
Q186475,Partial derivative,6
Q1419329,Pointed space,6
Q747980,Polytope,6
Q863912,Prime ideal,6
Q1428110,Regular measure,6
Q17102802,Rng (algebra),6
Q207348,SemiGroup,6
Q1165112,Singleton (set theory),6
Q2295009,Smash product,6
Q218005,Summation,6
Q484298,Surface (topology),6
Q160003,Tetrahedron,6
Q862761,Topological interior,6
Q922339,Topological ring,6
Q3553768,"",6
Q23924662,"",6
Q17521172,"",6
Q3487687,"",6
Q311627,P-adic number,5
Q7140405,Partially ordered ring,5
Q474715,PartialOrderedSet,5
Q860623,Preimage,5
Q240651,Prime element,5
Q1365548,Principal bundle,5
Q877775,Projective space,5
Q7252877,Proximity space,5
Q1138961,Quotient group,5
Q1806121,Range (function),5
Q1244890,RationalNumbers,5
Q1155772,Scheme (mathematics),5
Q1485102,Semisimple ring,5
Q133250,Sequence,5
Q170198,Series (mathematics),5
Q207961,Shape,5
Q595298,Sheaf (mathematics),5
Q2326800,Simple ring,5
Q912058,Simply-connected,5
Q134237,Square root,5
Q339011,Symmetric matrix,5
Q50701,Variable (mathematics),5
Q13471665,Vector (mathematics),5
Q39297,Volume,5
Q214604,Zero of a function,5
Q2996364,"",5
Q318598,"",5
Q111783780,"",5
Q13408581,"",5
Q810193,"",5
Q225107,Adjugate matrix,5
Q215084,Analytic function,5
Q451323,Antiderivation,5
Q11500,Area,5
Q17020770,Boolean-valued function,5
Q892585,Borel measure,5
Q850275,Conformal map,5
Q7756337,Differential algebra,5
Q1058681,Differential operator,5
Q1224487,Equaliser (mathematics),5
Q842346,Equality (mathematics),5
Q1326955,Exact sequence,5
Q120976,Factorial,5
Q21083858,Finitely generated group,5
Q192161,Formal language,5
Q190549,Functional analysis,5
Q190573,Gamma function,5
Q524607,General linear group,5
Q868169,Group homomorphism,5
Q83043,Hexagon,5
Q207476,Holomorphic function,5
Q843237,Index category,5
Q28113351,Inequality (mathematics),5
Q976375,Inner regular,5
Q2989575,Irreducible element,5
Q2920416,Kernel (category theory),5
Q827230,Lebesgue measure,5
Q190056,Linear Algebra/Hilbert Spaces,5
Q728435,Linear Algebra/Subspace,5
Q1804923,Long line (topology),5
Q306560,Mapping cone (topology),5
Q242188,Matrix inversion,5
Q1049914,Matrix multiplication,5
Q1194053,Metrizable space,5
Q1945067,Monomorphism,5
Q1952404,Multilinear map,5
Q17099189,Multiplicative character,5
Q1755242,Nilpotent group,5
Q592651,Non-Abelian group,5
Q2914509,Nullspace,5
Q2051983,Adjoint matrix,4
Q1945014,Algebra/set analogy,4
Q428290,Algebraic closure,4
Q1047547,Algebraically closed field,4
Q8366,Algorithm,4
Q2995691,Almost complex manifold,4
Q373045,Analytic grammar,4
Q10843274,Analytic number theory,4
Q1315869,Arity,4
Q60790315,Automorphism Group,4
Q194397,Banach space,4
Q1080067,Borel set,4
Q2518298,Category of sets,4
Q747027,Characteristic subgroup,4
Q522216,Commutator subgroup,4
Q45715,Complete graph,4
Q2362924,Complete lattice,4
Q5156529,Completely distributive lattice,4
Q1575634,Concrete category,4
Q42344,Conical,4
Q230655,Connected graph,4
Q1091024,Continuous linear map,4
Q363948,Contradiction,4
Q193657,Convex set,4
Q1554628,Cyclotomic,4
Q254347,Dedekind domain,4
Q11214,Differential equations of mathematical physics,4
Q2264419,Dirichlet L-series,4
Q2363730,Distribute lattice,4
Q1226939,Division (mathematics),4
Q190524,EigenVectors,4
Q1017231,Elementary abelian group,4
Q40112,Ellipse,4
Q130998,EquivalenceRelation,4
Q825857,Extended complex plane,4
Q1322786,Exterior (topology),4
Q619436,Factor ring,4
Q142140,Finitely generated abelian group,4
Q926996,First countable,4
Q81392,Fractals,4
Q1454165,Free product,4
Q92552,Galois theory,4
Q970767,Generalized eigenvector,4
Q182598,Graph (function),4
Q565186,Hausdorff dimension,4
Q1324364,Homogeneous space,4
Q574523,Immersion (mathematics),4
Q1418327,Indiscrete topology,4
Q17098198,Irreducible ideal,4
Q506041,Jacobian matrix and determinant,4
Q847204,Limit of a sequence,4
Q27670,Linear Algebra/Linearly Independent Vectors,4
Q1572357,Locally convex,4
Q649732,Logical calculus,4
Q4558786,Loop (topology),4
Q305936,Lp space,4
Q257,Mandelbrot set,4
Q177239,Mathematical Limit,4
Q1851710,Model (logic),4
Q870797,Modular form,4
Q2785361,Monoid object,4
Q2917823,Multiplicative set,4
Q595742,Möbius transformation,4
Q2444982,Noetherian module,4
Q131030,Operator (mathematics),4
Q3782642,Ordered ring,4
Q1783179,Orthogonal group,4
Q519967,Orthogonal projection,4
Q483372,Paradox,4
Q1756942,Partial function,4
Q127840,Pentagons,4
Q161519,Permutation,4
Q2042963,Picard group,4
Q1778098,Pointwise convergence,4
Q205170,Power set,4
Q1425985,Preorder,4
Q386597,Prime ring,4
Q2905043,Principal Ideal Ring,4
Q2997419,Projective linear group,4
Q942423,Projective module,4
Q3554818,Projective variety,4
Q1393796,Quotient space (linear algebra),4
Q209,Rectangle,4
Q41159,Rhombus,4
Q187235,Riemann zeta function,4
Q632814,Riemannian manifold,4
Q1333055,Rig (algebra),4
Q1289248,Scalar (mathematics),4
Q1363919,Second countable,4
Q956437,Semi-norm,4
Q1154351,Spectrum of a ring,4
Q125539,Submanifold,4
Q936434,Symplectic group,4
Q746550,Tangent bundle,4
Q188524,Tensors,4
Q25098802,Topological monoid,4
Q1455249,Topological vector space,4
Q5156532,Topologically complete,4
Q12510,Torus,4
Q1473607,Total degree,4
Q1362228,Totally bounded,4
Q321102,Trace (linear algebra),4
Q173091,Transcendental number,4
Q1191433,Tychonov space,4
Q185359,Union (set theory),4
Q1052579,Unique factorization domain,4
Q1987578,Unit interval,4
Q1500617,Unitary group,4
Q727103,Unitary matrix,4
Q13222579,Upper and lower bounds,4
Q12013681,Valuation ring,4
Q2138760,"",4
Q1626409,"",4
Q78484790,"",4
Q17123743,"",4
Q2498094,"",4
Q26851733,"",4
Q11756524,"",4
Q91267214,"",4
Q81376506,"",4
Q15079592,"",4
Q3555174,"",4
Q1413083,Parameter,3
Q1366002,Path (topology),3
Q2997817,Perfect field,3
Q7168101,Perfect set,3
Q184743,Periodic function,3
Q167,Pi,3
Q3054915,Pointed set,3
Q1207972,Polish space,3
Q50698,Polynomial equation,3
Q1455652,Polynomial ring,3
Q49008,Prime number,3
Q1428923,Profinite group,3
Q1475760,Projective plane,3
Q7249479,Projectivization,3
Q200694,Propositional calculus,3
Q1510587,Pseudo-Riemannian manifold,3
Q736753,Quadratic form,3
Q803531,Quadratic integer,3
Q2589508,Quotient algebra,3
Q656784,Rank (linear algebra),3
Q41237,Rational function,3
Q740970,Recurrence relation,3
Q845060,Relative extrema,3
Q1136782,Repesentation of a Lie algebra,3
Q1194212,Ring homomorphism,3
Q1358313,Ring of integers,3
Q168344,Ringed space,3
Q291126,Semidirect product,3
Q2366896,Semisimple Lie group,3
Q680081,Separable space,3
Q331350,Simplex,3
Q526790,Skew-symmetric matrix,3
Q2140900,Special linear group,3
Q7574831,Special linear Lie algebra,3
Q7575210,Spectral space,3
Q164,Square,3
Q17103642,Stalk of a sheaf,3
Q30587585,Stone space,3
Q1420023,Submersion (mathematics),3
Q906520,Summation method,3
Q3505239,Surface (mathematics),3
Q1307987,Suspension (topology),3
Q849512,Symmetric group,3
Q930499,Symmetric polynomial,3
Q1064500,Symplectic manifold,3
Q909601,Tangent space,3
Q7686763,Tarski monster group,3
Q131187,Taylor series,3
Q1163016,Tensor product,3
Q3756532,Ternary relation,3
Q11538,TheoremProving,3
Q1551033,Torsion group,3
Q1544261,Totally disconnected,3
Q1652969,Trivial ring,3
Q1056428,Type theory,3
Q1411887,Uniform convergence,3
Q186247,Vector field,3
Q1786640,Wreath product,3
Q288764,Étale fundamental group,3
Q105356493,"",3
Q1761121,"",3
Q1474543,"",3
Q3117934,"",3
Q78269866,"",3
Q7631151,"",3
Q78323465,"",3
Q1340572,"",3
Q357858,Adjoint functors,3
Q1371213,Affine connection,3
Q162608,Algebraic element,3
Q550791,Algebraic extension,3
Q1474074,Algebraic form,3
Q746863,Algebraic function,3
Q27058,Approximation,3
Q740424,Axiom of extensionality,3
Q1987722,Axiom of union,3
Q780487,Axiom schema of specification,3
Q179692,AxiomOfChoice,3
Q494141,Bialgebra,3
Q204355,Biconditional,3
Q3269980,Boolean domain,3
Q1047307,Bundle (mathematics),3
Q273188,CantorSet,3
Q4049983,Cardinality,3
Q190629,Centralizer and normalizer,3
Q511093,Centroid,3
Q810255,Change of basis,3
Q320369,Clopen set,3
Q5140810,Coequaliser,3
Q5155179,Comodule,3
Q848569,Complete metric space,3
Q126002,Concatenation,3
Q1319773,Consistency,3
Q746264,Constant function,3
Q210857,Convolution,3
Q751969,Coset,3
Q577705,Critical point (mathematics),3
Q214881,Curvature,3
Q29175,Derivative,3
Q558339,Dihedral group,3
Q209675,Dirac delta function,3
Q1142861,Direct sum of modules,3
Q1782332,Divisible group,3
Q181365,Dot product,3
Q13520655,Double factorial,3
Q752487,Dual space,3
Q2742711,Eccentricity (graph theory),3
Q188758,Eicosahedron,3
Q938102,Elliptic function,3
Q867345,Euclidean domain,3
Q17295,Euclidean space,3
Q4391173,Exponential (category theory),3
Q1196652,Exterior algebra,3
Q1397439,Fiber product,3
Q47577,Fibonacci number,3
Q1052692,Filter (mathematics),3
Q1454111,Free abelian group,3
Q2015432,Free loop,3
Q1292333,Free module,3
Q2007878,Functor category,3
Q662830,Fundamental group,3
Q2020004,Galois extension,3
Q44455,Game theory,3
Q724975,Gaussian integer,3
Q28517129,Genus (mathematics),3
Q5572389,Gluing axiom,3
Q288465,Group action (mathematics),3
Q5611270,Group scheme,3
Q746083,Homotopy,3
Q1626416,Homotopy group,3
Q912083,Ideal class group,3
Q321119,Identity function,3
Q2716519,Injective module,3
Q1139583,Inner automorphism,3
Q187631,Interpolation,3
Q2920801,Invariant polynomial,3
Q338057,Inverse element,3
Q674533,Inverse trigonometric functions,3
Q1674414,Isogeny,3
Q740207,Isometry,3
Q189112,Isomorphic,3
Q1322614,Limit (category theory),3
Q27628,Linear Algebra/Linear Combination,3
Q16977077,Linear Lie algebra,3
Q1868517,Local field,3
Q1142704,Local ring,3
Q289093,Localization of a ring and a module,3
Q2136937,Locally finite measure,3
Q220433,Logical equivalence,3
Q2066070,Loop space,3
Q1014869,Mapping cylinder,3
Q1203540,Maximal ideal,3
Q516776,Measurable function,3
Q6822327,Metabelian group,3
Q1475294,Minimal element,3
Q1163608,Minimum polynomial,3
Q306610,N-sphere,3
Q582271,Noetherian ring,3
Q191780,Ordinal numbers,3
Q465274,Ordinary differential equations,3
Q1477782,Orientation (vector space),3
Q215067,Orthogonal,3
Q1411166,Orthonormality,3
Q382698,Affine space,2
Q382497,Affine transformation,2
Q2165111,Alternative algebra,2
Q4748472,Ample vector bundle,2
Q485287,Analytic continuation,2
Q4779193,Apartness relation,2
Q2528476,Ascending chain condition,2
Q920450,Axiom of infinity,2
Q920796,Axiom of pairing,2
Q470981,Axiom of regularity,2
Q803936,Baire space (set theory),2
Q806066,Banach algebra,2
Q809690,Barycenter,2
Q2903821,Bimodule,2
Q1317188,BN pair,2
Q726212,Bounded set,2
Q377166,Byholomorphy,2
Q616653,Cantor space,2
Q1725874,Cartesian closed category,2
Q5062139,Central product,2
Q4504468,Chain (algebraic topology),2
Q1934165,Change of variables,2
Q1062934,Character (mathematics),2
Q836088,Characteristic (algebra),2
Q190913,Chomsky hierarchy,2
Q986909,Class function (algebra),2
Q5135347,Closed monoidal category,2
Q320346,Closure (topology),2
Q10564851,Closure operator,2
Q281212,Cofiniteness,2
Q2156511,Cokernel,2
Q546145,Compactification (mathematics),2
Q5156470,Complete Heyting algebra,2
Q5156554,Complex Lie group,2
Q2525646,Composition series,2
Q31924,Connection (mathematics),2
Q208416,Continuum hypothesis,2
Q768656,Convergence in measure,2
Q11210,Coordinates,2
Q1142143,Cotangent bundle,2
Q185478,Countably infinite,2
Q7874246,Coxeter group,2
Q5014001,CR manifold,2
Q189061,CW complex,2
Q245462,Cyclic group,2
Q212130,Cyclic permutation,2
Q320245,Derived functor,2
Q332791,Diagonal matrix,2
Q1058314,Diffeomorphism,2
Q13582243,Direct summand,2
Q5282068,Discrete valuation,2
Q865811,Distribution (mathematics),2
Q189000,Divergence,2
Q650741,Division ring,2
Q178296,Dodecahedron,2
Q5310181,Dual isogeny,2
Q2235316,Elementary symmetric function,2
Q268493,Elliptic curve,2
Q980509,Embedding,2
Q2896709,Endomorphism ring,2
Q847600,Entire function,2
Q1082992,Equivalence of categories,2
Q1969054,Essential supremum and essential infimum,2
Q852973,Euler characteristic,2
Q82435,Eulers number,2
Q5419318,Examples of groups,2
Q1385462,Extremally disconnected space,2
Q1064276,Faithful functor,2
Q246506,Field of sets,2
Q207014,Fifth Postulate,2
Q5448799,Filled Julia set,2
Q603880,Finite field,2
Q1426191,Flat module,2
Q6520159,Fourier Transform,2
Q1471397,Frechet topology,2
Q431078,Free group,2
Q769124,Frobenius endomorphism,2
Q934367,Function space,2
Q594452,Functional equation,2
Q15260871,Gauge group (mathematics),2
Q2851438,GCD domain,2
Q938283,Generalized flag variety,2
Q5532500,Generalized permutation matrix,2
Q643669,Generating set,2
Q734209,Generating set of a group,2
Q905837,Graph minor,2
Q17019511,Group algebra,2
Q1451046,Gödel numbering,2
Q1562471,H-space,2
Q644719,Half-space (geometry),2
Q2256693,Hamiltonian flow,2
Q1601337,Heisenberg group,2
Q5711485,Hemicompact space,2
Q82029,Henstock–Kurzweil integral,2
Q5761182,Hilbert C*-module,2
Q1622692,Hodge star operator,2
Q3139500,Holomorph (mathematics),2
Q1132952,Homogenous function,2
Q1502277,Homology sphere,2
Q14775269,Homotopy category,2
Q5900529,Hopfian group,2
Q193796,Imaginary unit,2
Q1663694,Inclusion map,2
Q193885,Infinitesimal,2
Q1493740,Integral closure,2
Q628792,Integral domain,2
Q256355,Intertwiner,2
Q2634828,Inverse limit,2
Q1476663,Irreducible polynomial,2
Q1673182,Irreducible set,2
Q1142889,Isolated point,2
Q6086107,Isomorphic categories,2
Q287419,J-invariant,2
Q649977,Jordan algebra,2
Q849798,Knot theory,2
Q1225713,Krull dimension,2
Q1353916,Kähler manifold,2
Q199691,Laplace transform,2
Q203484,Laplacian,2
Q1761084,Length of a module,2
Q548675,Levi-Civita connection,2
Q623761,Levi-Civita symbol,2
Q6543824,Lie groupoid,2
Q1133024,Lie superalgebra,2
Q33540,Limit of a function,2
Q209812,Linear Algebra/Generating a Vector Space,2
Q6553407,Linear algebraic group,2
Q909669,Linear equivalence,2
Q2147620,Locally compact topological group,2
Q11197,Logarithm,2
Q2528262,Lower set,2
Q102761,Lowest common multiple,2
Q2915729,Matrix Algebra,2
Q1361088,Matrix decomposition,2
Q1000120,Maximal torus,2
Q210841,Modal logic,2
Q727035,Modified adjacency matrix,2
Q1630568,Monad (category theory),2
Q243723,Monomial,2
Q194404,Monotonic function,2
Q864377,Multiset,2
Q1072771,Möbius inversion formula,2
Q1442189,Natural transformation,2
Q15148889,Nilpotent Lie algebra,2
Q1503766,Non-standard analysis,2
Q4391941,Nonassociative ring,2
Q2331395,Normal extension,2
Q283804,Nuclear space,2
Q3033506,Null graph,2
Q7071450,Néron–Severi group,2
Q188884,Octahedron,2
Q331481,Open cover,2
Q1780921,Orthogonal complement,2
Q333871,Orthogonal matrix,2
Q3630548,Outer automorphism group,2
Q258374,Outer measure,2
Q970119,Paracompact space,2
Q1064405,Parity of a permutation,2
Q2715875,Partially ordered group,2
Q336233,Pauli matrices,2
Q1069099,Payoff matrix,2
Q1412905,Permutation group,2
Q851512,Permutation matrix,2
Q9248237,Pointwise,2
Q355020,Probability measure,2
Q901718,Product (mathematics),2
Q177409,Projective geometry,2
Q3606768,Propositional function,2
Q370634,Pseudo inverse,2
Q978505,Pullback (differential geometry),2
Q1633079,Pushout (mathematics),2
Q7268888,Quantale,2
Q1335680,Quaternion group,2
Q1139111,Quotient space (topology),2
Q2126650,Radon measure,2
Q4177774,Rectangular band,2
Q670036,Rectifiable curve,2
Q13690522,Reducible representation,2
Q2138875,Regular local ring,2
Q1193403,Regular space,2
Q386320,Representable functor,2
Q9462417,Residuated lattice,2
Q7316304,Restricted product,2
Q753035,Riemann surface,2
Q756747,Root of unity,2
Q33401,Russell's paradox,2
Q1369621,Schwartz space,2
Q1747745,Second category,2
Q834585,Semilattice,2
Q1135427,Sequentially compact,2
Q1931224,Sesquilinear form,2
Q1131116,Set-theoretic limit,2
Q1493952,Sheaf cohomology,2
Q2119470,Sierpiński space,2
Q1764371,Signed measure,2
Q913022,Simple function,2
Q571124,Simple group,2
Q956233,Simple module,2
Q994399,Simplicial complex,2
Q1467124,Simplicial set,2
Q1095056,Singular homology,2
Q759832,Solvable group,2
Q7558992,Solvable Lie algebra,2
Q684363,Special unitary group,2
Q1996100,Splitting field,2
Q3554830,Stable manifold,2
Q769917,Star-convex,2
Q2033899,Stone–Čech compactification,2
Q4596935,Strict 2-category,2
Q929536,Subring criteria,2
Q40754,Subtraction,2
Q1136376,Support (mathematics),2
Q875333,SurrealNumbers,2
Q1052674,Symmetric algebra,2
Q2100018,Symmetric bilinear form,2
Q621461,Symmetric relation,2
Q7661853,Symplectic vector field,2
Q766774,Symplectic vector space,2
Q2296021,Tensor algebra,2
Q48995828,Tensor product of representations,2
Q810214,Topological base,2
Q7825035,Topological game,2
Q2478475,Topological neighbourhood,2
Q382874,Torsion module,2
Q2293759,Torsion subgroup,2
Q7827200,Torsion-free module,2
Q636889,Total derivative,2
Q64861,Transitive relation,2
Q223683,Transpose,2
Q272735,Tree (graph theory),2
Q8084,Trigonometery,2
Q5108738,Unbounded operator,2
Q2495534,Unitary transformation,2
Q597663,Universe (mathematics),2
Q3258885,Upper half-plane,2
Q3502010,Variety (universal algebra),2
Q66055,Vulgar fraction,2
Q505760,Weak topology,2
Q2343600,Weierstrass's elliptic functions,2
Q659746,Well-ordered set,2
Q778947,Writhe,2
Q147978,Zariski topology,2
Q16089841,Zero vector space,2
Q91052291,"",2
Q91052280,"",2
Q91050456,"",2
Q98929882,"",2
Q25447455,"",2
Q17859776,"",2
Q97623888,"",2
Q52088805,"",2
Q1333611,"",2
Q10260753,"",2
Q7134470,Paradoxical set,1
Q919125,Parallelogram law,1
Q431617,Partial fractions in integration,1
Q191690,Partition of unity,1
Q842755,Peano postulates,1
Q1571290,Perfect group,1
Q1344007,Permanent (mathematics),1
Q1189744,Pfaffian,1
Q547823,Planar graph,1
Q2101158,Polar decomposition,1
Q192388,Position (vector),1
Q2627013,Positive element,1
Q33456,Power (mathematics),1
Q1822837,Power associativity,1
Q206925,Power series,1
Q2628674,Primitive element (field theory),1
Q3755543,Principal homogeneous space,1
Q44382,Principal ideal,1
Q1572094,Product measure,1
Q2725924,Product of group,1
Q3406712,Product ring,1
Q1090009,Proper function,1
Q2642629,Pseudograph,1
Q4200951,Pullback bundle,1
Q1548483,Quadratic extension,1
Q15909572,Quadratic formula,1
Q2122223,Quantum group,1
Q3413378,Quasi-isomorphism,1
Q2281199,Quasicyclic group,1
Q1503423,Quasigroup,1
Q1432554,Quotient module,1
